,Normal_right_eye_origin_in_Z_axis,Normal_right_eye_origin_in_X_axis,Normal_left_eye_origin_in_Z_axis,Gaze_origin_from_world_space_in_Y_axis,Normal_right_eye_origin_in_Y_axis,Normal_left_eye_origin_in_X_axis,Gaze_origin_from_world_space_in_X_axis,Normal_left_eye_origin_in_Y_axis,Gaze_origin_from_world_space_in_Z_axis,Gaze_origin_from_local_space_in_X_axis,Right_pupil_diameter,y
6749,-25.301,-32.333,-26.32,2.047,-2.042,32.498,336.26,-0.912,272.734,0,2.552,1
18948,-26.399,-31.725,-24.351,2.024,3.224,31.404,445.654,3.968,66.78,-0.002,2.827,0
19695,-24.88,-26.823,-27.064,3.755,-1.709,34.236,-48.999,-2.603,45.724,0.013,3.465,0
2426,-46.283,-33.8,-38.21,3.096,7.87,30.796,-44.706,7.42,45.865,0.009,2.723,0
12195,-28.986,-29.835,-27.88,2.051,0.211,32.503,-1.096,0.775,-14.496,0.023,1.221,0
17353,-25.966,-31.399,-25.411,2.644,5.821,31.722,-52.585,6.135,80.931,-0.005,3.55,1
4173,-44.459,-33.189,-38.51,2.016,7.079,31.461,34.058,7.151,166.523,0.006,2.515,1
119,-42.382,-30.996,-41.971,1.613,7.461,32.925,-11.268,8.741,-19.141,0.001,3.08,0
19843,-40.172,-31.479,-41.408,1.561,6.162,33.493,-8.354,6.58,-16.392,-0.004,2.237,0
12825,-27.43,-25.61,-34.831,2.63,-0.075,35.02,-52.812,2.009,78.112,0.005,3.153,0
306,-42.777,-31.718,-42.072,1.721,7.194,31.934,17.446,8.627,-17.457,0.007,3.303,0
7233,-27.258,-37.541,-21.352,2.424,3.687,26.801,-51.125,5.034,74.371,-0.009,4.8,1
14593,-38.481,-30.542,-43.291,15.058,6.979,34.713,-28.804,7.887,157.611,0.005,2.234,3
6799,-27.528,-36.47,-20.753,2.488,4.326,27.468,-52.164,5.783,76.79,0.001,4.37,1
16177,-23.69,-26.922,-23.658,1.838,3.666,32.913,101.478,3.707,-43.132,0.008,3.576,2
3526,-32.947,-32.734,-27.198,1.807,2.852,28.706,-197.114,3.977,286.012,0.007,3.486,0
